object_name	x_world	y_world	z_world	aliases
washing_machine	-6.615	2.573	-4.96	washing machine
person	-3.44	-1.59	-1.36	
sink	7.537	-1.87	-5.05	
detergent_bottle	-6.013	-1.925	-4.769	detergent bottle
table	-6.079	-1.845	-3.313	small table, table
chair	-6.718	-2.077	-3.299	
chair2	-6.721	-1.963	-2.788	
vacuum_cleaner	-7.221	-2.573	-5.257	vacuum cleaner
yellow_rack	-8.432	-2.573	-5.257	yellow rack, yellow shelf, rack
switch	-3.818	-1.723	-0.996	
broom	-6.601	-2.573	-5.257	broom, brush
basin	-6.239	-1.925	-3.734	
spray_bottle	-6.013	-1.925	-4.859	spray bottle
wall	-6.952	-1.723	-0.9956	
mop	-6.601	-2.573	-5.257	
bucket	-7.305	-2.747	-1.688	
cloth	-6.424	-2.573	-3.99	
ceiling_lights	-8.05	-0.37	-2.59	ceiling lights
ceiling_lights2	-8.05	-0.37	-3.97	ceiling lights2
door	-4.02	-2.28	-1.14	
